epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.2,5,True,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,5,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,5,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,5,False,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,5,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,5,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,10,True,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,10,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,10,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,10,False,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,10,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,10,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,15,True,60,0,60,50,89.963230403999,5397.7938242399405,0,0,True
0.2,15,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,15,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,15,False,60,0,60,50,89.963230403999,5397.7938242399405,0,0,True
0.2,15,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,15,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,20,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.2,20,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,20,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,20,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.2,20,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,20,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.25,1,True,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,1,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,1,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,1,False,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,1,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,1,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,2,True,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,2,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,2,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,2,False,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,2,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,2,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,5,True,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,5,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,5,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,5,False,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,5,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,5,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,10,True,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
